,PC1,PC2,PC3
GSM187153,7.6017792950187175,-24.993656565777748,-61.517858896703494
GSM187154,-29.407107212340378,22.67622100258868,9.144277499
GSM187155,-15.750218876714522,-11.261622818458731,11.340738954035189
GSM187156,109.59010039587743,38.452934258949504,-12.810897932470331
GSM187157,16.71940189227494,-32.49153033386001,2.3104409107305734
GSM187158,-31.61201833105531,-1.30480329550489,6.910046703341836
GSM187159,31.63084885106317,-26.90723675969755,38.42090079293536
GSM187160,15.951604510821468,-16.192576337485534,74.73179440422942
GSM187161,48.4149057457283,6.699522383221041,2.679997801608215
GSM187162,-41.447129281176714,3.5051422204408604,5.053096457533395
GSM187163,44.40503641610282,-30.497728426094454,45.42819597611798
GSM187164,-3.522887760600988,38.22478018000371,-19.981640019142997
GSM187165,27.164103925144264,-10.157605177432806,-1.1618864220014222
GSM187166,5.312721882174712,-40.358647336957226,23.922113111429844
GSM187167,59.665867951698395,-7.7621725197477875,-39.95707414522307
GSM187168,-22.999852594535362,21.515178096472592,-27.44675453372642
GSM187169,-35.69054322280113,-19.08814800358563,-6.467923150200557
GSM187170,101.37483947110394,39.71761799270649,-23.46430465134204
GSM187171,-22.244258171106214,-20.418135545681224,-2.312628949601453
GSM187172,64.8121727093735,33.750726819987825,14.68701485797115
GSM187173,117.2097175840774,35.55611545716624,-14.397926468243098
GSM187174,-30.09484015256647,76.28385723479757,13.990309597401177
GSM187175,-21.123737326910547,-46.463575642128106,-10.164967600585612
GSM187176,-9.024451219108151,-31.800930359744157,-5.576273046657263
GSM187177,-37.261866523237245,-19.865880233559924,-30.45670050159961
GSM187178,-34.41520432048575,-21.604370121322727,-17.619005356062676
GSM187179,-20.041034623733953,2.8072277158295695,5.6055717335342345
GSM187180,129.65102963284352,26.39772189452314,-11.690325875070833
GSM187181,34.629553454977206,-30.64725587158561,33.91710879351218
GSM187182,-34.91425958413266,-19.157871977300587,-8.793035925869843
GSM187183,16.07305793331745,-16.942024997962143,-6.575068249520463
GSM187184,31.652611590488007,22.84339783356525,-1.8785160441014588
GSM187185,-7.508945117301808,-17.459530971680554,-14.17434210258805
GSM187186,-41.46693877112944,20.757598342151002,11.89218747714709
GSM187187,-18.73802893634914,18.042250162582636,41.926168049215775
GSM187188,-30.63155408067036,-7.88936748609278,9.97939012782877
GSM187189,-42.560998056204404,21.406791226862502,-30.543688785757446
GSM187190,2.8111406188542256,-27.998001249941357,9.634286623579131
GSM187191,-23.76570407277522,37.29008409005453,3.872976057897462
GSM187192,-25.009228633620996,49.89729900488569,-7.118541786344212
GSM187193,10.908801946205845,1.846661614694866,23.649279749523348
GSM187194,-27.129878080734255,12.397378698364426,10.276315664935417
GSM187195,26.44180903795919,32.54083660585028,5.412335687297007
GSM187196,26.1074092902085,-61.42236585234583,-2.5396919019131596
GSM187197,-10.057076320988639,40.63323018811892,-33.13944210193639
GSM187198,-9.69227443876629,-36.007586374726344,-9.351865060793994
GSM187199,12.686445921977999,-5.371421161334589,2.889853288474245
GSM187200,-39.12655486938862,61.75251284917994,6.079061111417201
GSM187201,-7.967353076117186,-6.660202084086232,2.5273685143232414
GSM187202,-31.67799608278825,3.8545468956197495,-26.171600049904807
GSM187203,28.634406944502267,-25.634931581246775,-26.04948476573621
GSM187204,5.449501801903053,-29.999305344038206,20.464041396416356
GSM187205,-27.60791416845295,-39.34748092153259,2.494103999354889
GSM187206,-11.392737361100599,33.11783365297932,30.06693237716303
GSM187207,3.2786917901680264,-18.80422426394983,-51.385030448963526
GSM187208,-19.819864758123916,-23.266313439238107,13.468085981103625
GSM187209,-12.837367818040793,-8.8786603044024,-22.697393408014594
GSM187210,-22.639853200013313,-24.427555043394346,-38.5616186842499
GSM187211,-7.054093529681208,-38.285620403088735,-18.54421963392128
GSM187212,-27.40840358003193,30.333546947567942,-0.5245834339476885
GSM187213,-14.136706947092831,2.943656414961015,-4.40357508158181
GSM187214,-11.718277731258373,0.749870269564768,-4.999549188220812
GSM187215,11.609346875012605,17.517484536169892,29.480152531162314
GSM187216,0.36877417985435446,-25.136163110965963,30.90629769612969
GSM187217,4.066415443453501,-33.06280811000207,10.061265454269977
GSM187218,52.77559681608824,0.11514339624909636,49.37290924982235
GSM187219,-2.759575293599244,13.82850764219139,-30.985836033769765
GSM187220,-18.26318313498263,-19.170934641716734,-3.8312508895205406
GSM187221,-29.173812869638017,36.39503671159405,4.228029944735528
GSM187222,-3.9291236508046605,28.85099412907155,-2.0279194991098874
GSM187223,21.541872887694307,-36.040678643756785,20.59568878225744
GSM187224,-42.264884369908245,34.09811472265394,56.97487310297967
GSM187225,-22.23581727227977,28.89302872740971,36.97479921589958
GSM187226,-30.24611059326904,52.38942416796716,-21.85035011481919
GSM187227,-1.1657807455477214,1.7388222098626125,-30.3569921235641
GSM187228,54.514713281513444,-2.769178461439106,8.664739950867123
GSM187229,4.781954517329155,-33.61776148181997,4.771722250462015
GSM187230,-40.01602175344602,50.11342121380621,0.013880471090888094
GSM187231,-24.709343723198533,-34.666534878640114,-15.891939295335401
GSM187232,36.90351918865956,2.852013408879669,-41.69424310891454
GSM187233,-27.04255278849954,-13.023260441319742,7.029898416112561
GSM187234,-26.4654558136105,-41.39454275443522,-5.588206877383858
GSM187235,-43.353254128206856,45.87438483751612,-1.058773476536405
GSM187236,6.382321184657181,-10.410714427980125,3.914674856104064
