,PC1,PC2,PC3
GSM1875162,-19.72217316707466,11.815334968418068,-10.56366724769614
GSM1875163,20.584243887352965,-2.2152353369255113,19.310373491222425
GSM1875164,4.411409521201927,20.64256442941004,-23.728377601065848
GSM1875165,10.426019432711884,-12.209997145376215,-3.1254539826745726
GSM1875166,5.584301416515036,-29.755255579528356,-21.13267108216799
GSM1875167,35.49078656900856,-1.5028032288691822,-44.42218990329391
GSM1875168,12.363106334635637,-22.588051273384,-1.2770203092310033
GSM1875169,5.5620396630135005,-9.706017138401867,-22.622010245908225
GSM1875170,16.12576335846302,36.043847630491705,-2.0402532608183037
GSM1875171,-2.068931252423513,-36.72569702076421,-16.058179105377494
GSM1875172,17.040151793434802,2.1727066685736323,-6.264161726686034
GSM1875173,-14.519992810257545,-7.593131129793877,9.35642079532656
GSM1875174,-19.24683882084363,-34.72516150876548,8.27110854093677
GSM1875175,-3.9035437393066212,-41.69758778015473,-2.075128648196533
GSM1875176,6.8985406426890865,-1.6171425521726506,-8.781745733129698
GSM1875177,30.83069358897409,-2.826980867430833,3.0518668928678943
GSM1875178,-30.24797911693151,-13.41662391131253,0.08399262248280671
GSM1875179,19.553839278910736,-12.265490388755182,20.696407230724727
GSM1875180,5.595022483289657,-11.73865912059412,-22.81283273488184
GSM1875181,23.780545100646016,-5.859055474754776,2.7718027432410293
GSM1875182,9.51942969432741,-2.1272291878563183,32.57732342728039
GSM1875183,27.13362050320113,-8.236964201079228,-10.634065880605885
GSM1875184,-30.261524332545935,-14.33869269082025,-29.026657315408
GSM1875185,-32.41581563453088,43.59101514365814,-28.946648713229354
GSM1875186,-52.19738812618485,-13.899572730981975,5.789246519353402
GSM1875187,11.69060390121719,13.0868008527328,12.436690240381353
GSM1875188,23.321206572255242,39.34346870784442,16.398364233779308
GSM1875189,-43.89775976429926,51.189954283588456,-25.168431460048208
GSM1875190,-12.957567395920613,-15.924287655255526,-6.461642464995912
GSM1875191,7.229501678356124,-3.1722238610657745,15.399299148221187
GSM1875192,1.0986759950430818,-6.480930094005571,-10.58122429924103
GSM1875193,5.1360230011512344,-13.21722646221221,33.70217215837713
GSM1875194,-10.184736756500007,-14.069953768201346,12.173272789403077
GSM1875195,-4.865815122991088,-37.26367093268819,-8.949779315987684
GSM1875196,-78.17032283046119,50.389754579348526,-19.630791686454796
GSM1875197,49.00948513419897,18.015720527660537,-3.011550349751605
GSM1875198,-12.08252589191626,-4.133926427987059,19.621509278663293
GSM1875199,-23.936161990804155,80.38187796492463,-10.891401902578291
GSM1875200,14.18219757335336,-0.40606322758990915,21.875764114894366
GSM1875201,-25.101451475349638,10.811374627322804,20.18593249791716
GSM1875202,17.418041053237463,14.56403483192985,23.568079792296672
GSM1875203,-7.485227861167213,-16.13873510423284,8.33428133782536
GSM1875204,37.16493732875682,3.0066619924883247,-11.416318396578987
GSM1875205,19.50469262317611,4.243382120543872,-8.315083587388242
GSM1875206,10.228969398174998,-14.293382218043966,-19.891696376630474
GSM1875207,-26.432558465892306,-32.77288397230544,-11.6121256575854
GSM1875208,2.2595247466733506,-23.366799061198222,12.319696578566296
GSM1875209,-6.914800017137288,1.7004141462752027,25.591612796682234
GSM1875210,-10.118329384392828,-9.513394775135005,4.7493493880215025
GSM1875211,-6.816220723743223,9.051152626424114,5.362132350812668
GSM1875212,27.710117552543245,5.35231467949031,3.504881158355074
GSM1875213,3.097028521976917,19.635581697738356,-6.291456739170474
GSM1875214,-7.059032702048305,-15.491069498341142,5.9599948322024
GSM1875215,-6.909435299208402,-10.479836431452272,4.711303443251918
GSM1875216,-37.851170715708285,-3.793594034254836,30.161365983984957
GSM1875217,37.42355949572976,7.637591818752451,-15.851118874356912
GSM1875218,4.850310037909212,41.479529811805584,5.364882921579893
GSM1875219,23.512432093679976,20.30633163000574,14.131649368152202
GSM1875220,9.26305236584344,-12.131752901062752,22.332685151908787
GSM1875221,-16.00169148149115,-20.15267089629662,-17.649350345291907
GSM1875222,-20.347794931644998,-2.465747475010173,-12.44881484758594
GSM1875223,4.552558230972548,42.01803087432362,-45.275887652065975
GSM1875224,19.07206955672904,-19.08345119268169,-39.05890567031242
GSM1875225,-1.4333513679412528,4.937090428110569,19.414064493318318
GSM1875226,-38.51789414986911,-5.900463446463677,-7.5628924351833255
GSM1875227,-11.740521085111725,22.20171515345142,22.569706017361096
GSM1875228,35.607928342598804,3.5058646342379767,-15.347864951289703
GSM1875229,-11.852767578230376,-6.774616247632228,-21.10979723308466
GSM1875230,0.863641523630711,-18.315791008074235,12.92833901048447
GSM1875231,15.790261862220255,1.7147599011857575,-11.603238762262295
GSM1875232,41.92199098157163,31.754846544835704,35.5920850889909
GSM1875233,-55.5276479500409,-2.3811140225286405,15.732183715759403
GSM1875234,-25.065858903240557,3.284596043240871,10.92445155849691
GSM1875235,9.83770950038665,-5.81546241101175,28.077179345049696
GSM1875236,-7.56614540652764,-4.155017904105038,11.206744987747042
GSM1875237,11.904396282578931,14.514615039296087,19.31188195619975
GSM1875238,31.64291759480252,-5.506473046206533,-24.283174788876902
GSM1875239,-8.121726498425621,8.39192409893804,15.371831495392506
GSM1875240,8.55253186895796,6.705318131827842,9.91471233341191
GSM1875241,-33.945803088071834,-30.76772461976018,-22.450050682785584
GSM1875242,10.400051831111773,-7.845297294076726,-32.50138786573156
GSM1875243,-45.371608869593416,-19.20793268360708,-3.318400060191943
GSM1875244,12.58260945287332,-22.3263311599876,4.601808684449064
GSM1875245,-18.506476818135553,2.8639362382341607,1.5325618667310674
GSM1875246,-43.63140701214692,6.514724185453107,25.919935837730407
GSM1875247,28.971515125685375,36.25377547184887,-1.308494175200455
GSM1875248,1.296127049106988,-15.354466020856215,-12.867823162173032
GSM1875249,27.83236192470543,12.794134523300992,-12.154272514203207
GSM1875250,-1.1333279512037602,4.458916021503724,18.612326458393664
GSM1875251,28.6323544954473,-20.442120847400204,-20.917676535241377
GSM1875252,37.90229097262689,46.69214900395545,-16.57091666754466
