,Sample,PC1,PC2,PC3
0,GSM1875162,19.939396266360923,6.465756161335541,-6.934088393696921
1,GSM1875163,-17.879498357813198,4.2020212337744605,12.671768766098909
2,GSM1875164,-0.7435301644827876,15.792278342949693,-16.433862934332097
3,GSM1875165,-13.584635044544425,-5.696312020373013,-0.7887743734861791
4,GSM1875166,-11.297313171319535,-18.8337929186225,-14.12589728896218
5,GSM1875167,-25.614331109800023,3.0087059266029232,-33.13597207399428
6,GSM1875168,-15.468388493931887,-16.970292568440073,0.32056646682662704
7,GSM1875169,-3.458144766315039,-11.756033975278289,-16.262950198712225
8,GSM1875170,-4.634294073705861,30.66942303879878,-3.848991797313988
9,GSM1875171,-6.572133520113561,-28.648317491752127,-12.070368986101673
10,GSM1875172,-13.528088797661528,3.6756469405118377,-3.3345275954111373
11,GSM1875173,7.883229816372499,-6.408611218221393,8.603577140066905
12,GSM1875174,4.560791907149146,-25.43897566782832,11.918911386619758
13,GSM1875175,-5.36814943547393,-32.787851893714,0.9011216255547138
14,GSM1875176,-5.6030753092964884,2.5183380572131107,-9.298447517075578
15,GSM1875177,-24.00843198410039,2.7306917010414344,-1.5753561530757607
16,GSM1875178,22.2153268845008,-12.777978887405384,1.9241813593516202
17,GSM1875179,-21.40066569956482,-1.5515820033223675,15.929879764772382
18,GSM1875180,-10.074662517344846,-4.467705193368262,-14.06220814153194
19,GSM1875181,-25.082300919538127,4.2747893997783795,2.869211045676013
20,GSM1875182,-12.951427422874172,5.822718098894496,26.04262989836236
21,GSM1875183,-24.070146554887486,-1.4301560388461252,-8.883786989065557
22,GSM1875184,19.776002575996987,-17.129511562395553,-16.005530963235984
23,GSM1875185,35.73032494012977,24.3359645854415,-20.45392428723996
24,GSM1875186,37.014803118737376,-18.330521365728647,7.771420078388388
25,GSM1875187,-8.788059427123892,15.972714570737374,9.909137950376113
26,GSM1875188,-12.379235883412287,34.186319872631124,11.561428525655248
27,GSM1875189,44.24850321887479,30.85334513560545,-17.173542646139026
28,GSM1875190,7.8877696061779075,-14.65898411864012,-1.9335753733235648
29,GSM1875191,-6.3113562059056125,2.0538910323606787,11.313645132026846
30,GSM1875192,-0.5749278723667911,-4.993698005857506,-9.70703563201703
31,GSM1875193,-12.229343241251394,-4.3746924960649975,28.440386913643238
32,GSM1875194,4.767194439101293,-11.14856341644018,10.018072905989252
33,GSM1875195,-6.139225930889085,-27.72014858396041,-5.544085561203408
34,GSM1875196,68.14600177059722,22.996036050386664,-12.303928136664329
35,GSM1875197,-34.920107396947714,22.06661234014212,-4.560326228164957
36,GSM1875198,8.104172046402658,-1.5927855835083429,15.597613779507187
37,GSM1875199,37.17429142024482,50.36942069083813,-12.241422932879136
38,GSM1875200,-14.344687009657113,5.3715597750467605,16.60184580262412
39,GSM1875201,23.855461777620267,3.0590946892616584,9.975432420931446
40,GSM1875202,-12.741470179700222,16.798870035572172,16.77622549339113
41,GSM1875203,-0.18801779910503846,-12.299356440259848,9.119504734718443
42,GSM1875204,-27.631753228992967,11.784137301867506,-10.483860161292263
43,GSM1875205,-13.910073853161052,4.576451915675442,-8.385875342828411
44,GSM1875206,-6.879260328631884,-12.346656271575313,-15.827461151293711
45,GSM1875207,15.810777456014133,-32.53270781301139,-3.926525556952817
46,GSM1875208,-9.404835594869981,-17.192925562685616,11.22941240219172
47,GSM1875209,5.265437647282921,0.7805905478465804,20.639535116197365
48,GSM1875210,6.7896807871069855,-10.083184706908378,4.5008991395560844
49,GSM1875211,11.296864821481359,4.226065776253542,3.382075348879056
50,GSM1875212,-19.87589331665345,10.430040805266392,-0.10874891925674553
51,GSM1875213,7.224454468427982,11.483493112132873,-7.4568542660970625
52,GSM1875214,2.489276253287568,-15.455082681021464,5.708545491897492
53,GSM1875215,3.2140323452336337,-7.318703289034093,3.895269006668535
54,GSM1875216,29.149049522240624,-6.882310392936593,22.26596489524385
55,GSM1875217,-24.442644662543984,7.8358492987823825,-16.319732310107018
56,GSM1875218,5.283052653054176,31.110489773497463,1.3533116337985276
57,GSM1875219,-14.009519162306775,18.048029672444112,10.82637639328146
58,GSM1875220,-14.349417071569393,-5.012517100875504,17.134807601779322
59,GSM1875221,8.138099672638672,-19.034464438095426,-10.983243768000317
60,GSM1875222,20.530275864421387,-6.768650836086004,-10.863526391495142
61,GSM1875223,12.070967512201502,25.422927407801648,-41.102944054874705
62,GSM1875224,-18.73788626953992,-13.4558682769018,-29.468426136263233
63,GSM1875225,2.9852817590170857,6.9601941165018015,13.606852198210357
64,GSM1875226,31.51650943968208,-11.538625303501206,-2.789691362654117
65,GSM1875227,11.547847405391213,20.83144879719284,18.86950821949453
66,GSM1875228,-28.97944156186191,10.804406409373236,-13.740546428808427
67,GSM1875229,13.97121165720865,-10.65388041967384,-16.398052325346267
68,GSM1875230,-5.318047105296251,-11.669037897422244,12.446360698256806
69,GSM1875231,-6.441282791321526,-2.647163368453893,-10.446961652220486
70,GSM1875232,-28.671162581455857,31.8644406185028,22.292349891570055
71,GSM1875233,44.02727378363267,-9.945454458435377,12.998919988088597
72,GSM1875234,13.399182850991526,0.6504508015059275,9.213576539232374
73,GSM1875235,-9.809779619600354,-0.8240054193853417,21.15298788835027
74,GSM1875236,4.146197087448264,0.34885482098825243,9.68980771345286
75,GSM1875237,-5.7911037720020335,15.09398085881256,14.622088864302945
76,GSM1875238,-20.701300078126,-4.04154175871369,-22.08670993569553
77,GSM1875239,10.518867997284731,3.4008949684926697,11.689046711759827
78,GSM1875240,-3.954869357939142,7.751524414481225,7.133285617367518
79,GSM1875241,21.614044160806376,-31.569177516003013,-13.371588268341846
80,GSM1875242,-6.4425257335077175,-9.722953128115892,-23.824399109426952
81,GSM1875243,32.36800144489073,-21.909487411886946,-0.7542449209500727
82,GSM1875244,-17.734311764122808,-10.53297424637271,4.0315425046252376
83,GSM1875245,18.405745112405747,-1.231233742967878,1.3729822703197838
84,GSM1875246,32.70053988779466,-0.7808177004617912,21.18109645825481
85,GSM1875247,-17.636921464366797,31.87554313868924,-4.0135385164732496
86,GSM1875248,-4.181562502318719,-11.72534369366756,-10.037837283087999
87,GSM1875249,-19.458700522500816,12.144042752650487,-11.280631755402306
88,GSM1875250,0.4481446258940118,2.9833373068611033,12.309463108191268
89,GSM1875251,-27.038516767937107,-11.612321510561946,-14.311454654751024
90,GSM1875252,-17.276248090710226,34.29194158010937,-15.807930849666318
91,GSM1875253,10.46676622158795,-18.440552084484068,0.7523670749634622
92,GSM1875254,0.11160999806351836,-7.5036853128611956,7.416729672364791
93,GSM1875255,1.9996631252790091,-6.814611237007678,20.097841958584734
94,GSM1875256,-6.764172981160463,-0.4178446166062247,-21.054883149576614
95,GSM1875257,-2.823474063647492,17.476866414834173,-21.18993042082064
96,GSM1875258,1.4219358098049568,-12.840090396260846,9.83709245088911
97,GSM1875259,19.424972940501508,10.47962358282719,22.7397468145675
98,GSM1875260,9.070187084164253,-11.055812397432756,17.88611606783459
99,GSM1875261,-14.5284275654591,16.056166444466285,-10.370731439878547
100,GSM1875262,-5.960441083221387,-23.36043387944089,6.542413404588679
101,GSM1875263,-7.9846238644360055,-12.19431541924577,1.3195977423505312
102,GSM1875264,46.10936606277854,31.87213294230847,-0.8235217223664865
103,GSM1875265,18.609817614904717,-4.573074420147697,-25.751599595915213
104,GSM1875266,7.428620619524398,-10.513815670925592,7.471587032097747
105,GSM1875267,-20.854216783444304,-6.126549690048071,21.079998395394735
106,GSM1875268,9.285980357927054,6.265567071314492,-12.944221468712554
107,GSM1875269,7.1498498772927785,14.0674817531284,41.38459536270922
108,GSM1875270,43.639102408078976,9.300538213973036,-18.109967240800923
109,GSM1875271,-21.975248859363013,-47.06133414837592,-16.84585906966124
110,GSM1875272,-55.38430550222928,20.644087391398987,7.440925133577068
111,GSM1875273,-26.02434193058772,-1.6807180212858268,-4.221534568828363
