,PC1,PC2,PC3
GSM1875162,17.538427449185118,-5.871271899907036,4.879856138208178
GSM1875163,-14.885720699434387,-4.97265091824204,-8.485088720108699
GSM1875164,1.3040292431151792,-11.946515829633354,12.774527180389484
GSM1875165,-13.982808274956078,3.0069627592017225,-0.03546260010035712
GSM1875166,-9.824061578851568,14.00466182776466,9.978906905958446
GSM1875167,-20.826971096287473,0.5613513117950106,25.917078166409024
GSM1875168,-15.15821325437477,13.917909056915887,-1.6392469394107843
GSM1875169,-0.836116948406778,11.178205458305749,11.050266016847312
GSM1875170,-1.7551649001924596,-23.434551596500768,3.8746184341032737
GSM1875171,-7.269159070704404,23.420278661364787,8.683016133114643
GSM1875172,-11.533048726494826,-3.3709478733083333,3.1881729980669395
GSM1875173,5.686963543415589,6.24636989210725,-5.998680576242569
GSM1875174,-0.7531821175193841,17.219099805962383,-12.333242315675172
GSM1875175,-6.726763657918698,25.39044558420055,-3.2429413592729524
GSM1875176,-1.799416784431883,-1.9992262327976724,8.122127950488418
GSM1875177,-20.086556234579252,-1.2380384789603853,2.5878509768718274
GSM1875178,18.69236752613861,9.33442581301663,-4.088906827831882
GSM1875179,-22.262804983479487,-3.221241666443176,-10.652507211437625
GSM1875180,-9.0032172566613,3.9629799051159464,8.426152307926602
GSM1875181,-24.220108277413473,-3.950641286083952,-1.3325226235847774
GSM1875182,-13.328578355003422,-7.905362381652527,-19.98122442829454
GSM1875183,-20.11413646287556,1.1426320912591055,9.011484933372586
GSM1875184,14.243257001324254,15.182954766643055,9.41369710340013
GSM1875185,31.12615911955781,-15.780244590339137,17.322743103213114
GSM1875186,29.539438814258954,14.978415819362839,-8.106113146788163
GSM1875187,-8.042398114044309,-11.351923701817185,-8.102153444167335
GSM1875188,-9.44305333615686,-26.781630186937207,-6.317493311142419
GSM1875189,38.1170021612756,-19.603625370912876,14.762928023531465
GSM1875190,6.595972852063442,13.016646717931026,-0.6534114961424203
GSM1875191,-5.469733412466896,-3.6276832698951336,-7.540878818388764
GSM1875192,0.6601815524939174,6.1587998655645375,7.581032680456884
GSM1875193,-13.42083645912697,-0.7574686705108895,-23.30698448887193
GSM1875194,2.8886003663840576,7.161538434852543,-7.940379376027971
GSM1875195,-8.457088023012087,21.608215968342225,3.828615480903454
GSM1875196,54.7617462853309,-14.895591566352362,8.834462013348167
GSM1875197,-28.17718958507013,-17.121545445262306,7.489281144179824
GSM1875198,7.08373402287394,-1.5893053458760886,-11.935965356702198
GSM1875199,34.87538101805396,-35.41973443923136,12.56863096968977
GSM1875200,-13.583656113969171,-8.80498986665792,-11.317191481107853
GSM1875201,23.195314209037303,-1.8260828325462826,-5.387073918260794
GSM1875202,-11.039153846111107,-15.489888713959294,-11.529636023518552
GSM1875203,-3.126091412951037,7.313709831865784,-8.632990943918529
GSM1875204,-21.3113795444841,-9.67238919180835,6.951514713630362
GSM1875205,-11.041738309617045,-3.616465431573574,8.064806831417364
GSM1875206,-3.2455585292206477,11.24859091042892,11.581879537964639
GSM1875207,11.497461010261452,27.465035106465244,-0.9073944978272777
GSM1875208,-10.9976608906779,11.461273296224714,-10.254924396732013
GSM1875209,4.002056810263152,-2.4458410715621173,-16.46368496802072
GSM1875210,6.096058985731777,8.411905913440783,-5.47143393157767
GSM1875211,10.82478794940098,-3.493952070776786,-2.0423308972310954
GSM1875212,-15.252285123400178,-9.727155493606542,1.2247140184534233
GSM1875213,10.430327560584274,-8.008713647795838,6.878902345808686
GSM1875214,0.15222357892116972,11.888464006353615,-6.504275612257314
GSM1875215,2.9212142398402405,5.3877251083150055,-5.559281599522891
GSM1875216,24.322659304249612,3.7465078473876647,-18.304036126086757
GSM1875217,-18.33937195052485,-3.2323577091770153,15.992405241032523
GSM1875218,5.639286114160219,-22.353749805755882,-0.32226147188454557
GSM1875219,-11.49302199688689,-14.82059470068377,-6.986004947871416
GSM1875220,-15.506679568366703,0.8175013351925459,-13.764773027862633
GSM1875221,4.430536146329714,16.254691950556836,6.012241656733075
GSM1875222,21.178066529434936,6.7707665767579615,6.86534712854077
GSM1875223,15.917775380596872,-14.798985907524862,34.18222252855162
GSM1875224,-15.727460486684683,13.229615588680671,22.423543726584676
GSM1875225,3.565124377958696,-8.615197459066737,-10.797014629516394
GSM1875226,26.72300617699004,10.708750583929742,0.11065160686634656
GSM1875227,9.559475554479226,-18.42830122232533,-14.292686761263106
GSM1875228,-23.168938691070363,-8.506000722077022,11.939919310294531
GSM1875229,14.861881133935096,10.779896656030479,12.201850439654592
GSM1875230,-5.884101855820121,5.715050900288119,-10.752477502131454
GSM1875231,-2.1649102787957166,4.730667145420267,7.8109825768260706
GSM1875232,-24.504206022507653,-27.655080401564135,-12.509834886580274
GSM1875233,36.71239005839376,8.246537642807857,-11.63497523464711
GSM1875234,6.418512157094582,0.06292290899101281,-6.20699068187954
GSM1875235,-8.470084307373552,-3.042110723176891,-17.0664982379618
GSM1875236,3.3195860593532984,-3.454482084778055,-8.351086456256658
GSM1875237,-3.6458078073356397,-14.565551256576406,-7.446282030219808
GSM1875238,-14.451493867883647,5.334998380865378,18.70838533853087
GSM1875239,9.824799247840456,-1.2569748316819018,-11.192282206465162
GSM1875240,-2.299406601883171,-6.601408332381811,-5.24005014715018
GSM1875241,17.2227733553855,26.266125172554524,7.1335857751831595
GSM1875242,-5.864637733802095,10.23770554076167,18.78594332180139
GSM1875243,26.289153636416547,18.31518597663925,-1.9152605436162202
GSM1875244,-16.45064459738005,5.558461587629542,-3.2346891437720684
