,PC1,PC2,PC3
GSM1875162,-17.713058955643646,16.708008259976125,-10.1340864261305
GSM1875163,20.360151057971603,-8.307227762887928,23.18134804124878
GSM1875164,14.336056572110714,19.921852889579604,-27.386456063882093
GSM1875165,5.260399934529863,-15.777707652134076,-5.140975633458408
GSM1875166,-8.457214291184497,-38.540154636374524,-23.895154971897032
GSM1875167,39.715714873303,-16.618367568042437,-48.57663262919356
GSM1875168,6.090072911655139,-25.915519335803786,-2.689807586985639
GSM1875169,6.735276053857494,-10.995165467115209,-27.30959989937317
GSM1875170,32.21120878104242,31.344995595056044,-0.6720729054825253
GSM1875171,-15.78313726711985,-37.68296888906238,-19.103684509925
GSM1875172,19.130115591589945,-3.793919415017383,-6.213105297169627
GSM1875173,-22.175407192277497,-5.2176268883797725,10.96605566190755
GSM1875174,-37.95216736136046,-31.813204497753095,7.188846892124809
GSM1875175,-18.73207533991525,-41.899516573679335,-6.506290358700374
GSM1875176,2.2644010330525925,-7.99370960171905,-6.681098802679648
GSM1875177,33.57373232267528,-12.814705995315554,6.603783051515392
GSM1875178,-39.70676239389601,-5.699358425836161,-1.1320357323965933
GSM1875179,11.999819152761274,-19.94584611050071,22.297705130140816
GSM1875180,-1.4071279897639402,-17.627413561681585,-28.209276271481396
GSM1875181,15.866527136812614,-17.715178846587985,5.836104212834588
GSM1875182,2.978081282062594,-6.257408747932521,37.95355728868365
GSM1875183,22.712975651652727,-19.755474190034995,-10.179824545216542
GSM1875184,-38.6925117390617,-4.658261973037083,-37.00160177805362
GSM1875185,-17.2353422953125,59.0412957986116,-34.16248684913192
GSM1875186,-64.32231918378865,1.936234141026337,3.95319013654719
GSM1875187,11.92675666960756,6.6670423250571025,15.647580660690775
GSM1875188,41.35411105479428,34.043209695593745,21.79238832439692
GSM1875189,-29.72249963882605,70.55584176383051,-28.291581694329825
GSM1875190,-20.99840128347258,-13.322965759756942,-7.8208522026503235
GSM1875191,3.77443549702165,-8.351243444371267,19.020350604265285
GSM1875192,-0.8822636143272171,-7.575932645087117,-10.97135946200902
GSM1875193,-6.2076592788753,-16.72599663777505,38.70318028785555
GSM1875194,-19.072961102702827,-12.427601974379312,13.66936646424528
GSM1875195,-23.269018841425556,-39.66447350804911,-10.207416309868542
GSM1875196,-66.16133452508798,86.28390538229813,-26.2118259306679
GSM1875197,57.2151421661675,-2.3959038675172715,1.1233134766965456
GSM1875198,-17.622638798408964,-2.9978792814656603,22.949820291392356
GSM1875199,9.696175144812946,98.90134371235233,-12.93684786558579
GSM1875200,11.456833652458421,-6.859419844603158,24.69336743162424
GSM1875201,-18.66802822865855,21.257956747975275,24.668206913227085
GSM1875202,23.086288368909,9.29542555667972,26.69389944256924
GSM1875203,-15.998688358791188,-13.159318581050114,8.243360024245582
GSM1875204,38.8997900479334,-13.849399416929833,-9.744485389147194
GSM1875205,24.20746195463922,-1.36624143911238,-8.113187327780086
GSM1875206,8.310297429782139,-18.443047654760356,-23.069221399137618
GSM1875207,-38.6862385898794,-24.72047762125731,-17.128037527982055
